MC_name,Bin_code,MC_low,MC_high,Bin_low,Bin_high
CREDIT BANK OF MOSCOW,mkb,5155317900000000000,5155317999999999999,5155317900000000000,5155317999999999999
"JOINT STOCK COMPANY ""RUSSIAN STANDARD BANK""",rsb,5155323600000000000,5155323699999999999,5155323600000000000,5155323699999999999
"JOINT STOCK COMMERCIAL BANK ""MOSCOW INDUSTRIAL BANK""",moscow_industrial_bank,5155326500000000000,5155326599999999999,5155326500000000000,5155326599999999999
SBERBANK OF RUSSIA,sber,5155335800000000000,5155335899999999999,5155335800000000000,5155335899999999999
JOINT STOCK COMPANY COMMERCIAL BANK CITIBANK,citibank,5155338900000000000,5155338999999999999,5155338900000000000,5155338999999999999
BELGAZPROMBANK,belgazprombank,5155350700000000000,5155350799999999999,5155350700000000000,5155350799999999999
"PUBLIC JOINT-STOCK COMPANY ""BANK OTKRITIE FINANCIAL CORPORATION""",otkritie,5155352500000000000,5155352599999999999,5155352500000000000,5155352599999999999
"""BELARUSSIAN BANK OF DEVELOPMENT AND RECONSTRUCTION BELINVESTBANK"" JSC",belinvest,5155354300000000000,5155354399999999999,5155354300000000000,5155354399999999999
Credit Union Payment Center (Limited Liability Company),credit_union_payment_center,5155360000000000000,5155369999999999999,5155360000000000000,5155369999999999999
SBER BANK OJSC,,5155372700000000000,5155372799999999999,5155372700000000000,5155372799999999999
VTB BANK (PUBLIC JOINT-STOCK COMPANY),vtb,5155373600000000000,5155373699999999999,5155373600000000000,5155373699999999999
"JOINT-STOCK COMPANY ""BANK SOYUZ""",soyuz,5155377400000000000,5155377499999999999,5155377400000000000,5155377499999999999
GAZPROMBANK (JOINT STOCK COMPANY),gazprom,5155380700000000000,5155380799999999999,5155380700000000000,5155380799999999999
SBERBANK OF RUSSIA,sber,5155386300000000000,5155386399999999999,5155386300000000000,5155386399999999999
CREDIT URAL BANK,credit_ural_bank,5155387100000000000,5155387199999999999,5155387100000000000,5155387199999999999
SBER BANK OJSC,,5155411600000000000,5155411699999999999,5155411600000000000,5155411699999999999
